Date,Open,High,Low,Close,Adj Close,Volume
2021-11-15,3600.000000,3650.000000,3600.000000,3600.000000,3332.713623,91001800
2021-11-16,3590.000000,3680.000000,3590.000000,3670.000000,3397.516357,99590700
2021-11-17,3690.000000,3690.000000,3600.000000,3630.000000,3360.486328,82023300
2021-11-18,3630.000000,3640.000000,3600.000000,3630.000000,3360.486328,53290400
2021-11-19,3660.000000,3920.000000,3660.000000,3900.000000,3610.439697,310615000
2021-11-22,3920.000000,3930.000000,3780.000000,3800.000000,3517.864258,206683100
2021-11-23,3800.000000,3850.000000,3780.000000,3800.000000,3517.864258,67778800
2021-11-24,3840.000000,3840.000000,3790.000000,3800.000000,3517.864258,67303800
2021-11-25,3880.000000,4090.000000,3850.000000,4000.000000,3703.015137,264897100
2021-11-26,4040.000000,4050.000000,3970.000000,4010.000000,3712.272705,231870300
2021-11-29,4010.000000,4170.000000,3980.000000,4140.000000,3832.620850,228774600
2021-11-30,4150.000000,4170.000000,3990.000000,3990.000000,3693.757568,435800600
2021-12-01,4040.000000,4150.000000,4020.000000,4080.000000,3777.075439,200699200
2021-12-02,4140.000000,4190.000000,4100.000000,4160.000000,3851.135742,116093100
2021-12-03,4130.000000,4180.000000,4050.000000,4070.000000,3767.817871,96760700
2021-12-06,4060.000000,4250.000000,4050.000000,4170.000000,3860.393311,106756900
2021-12-07,4180.000000,4200.000000,4120.000000,4150.000000,3841.878174,121543400
2021-12-08,4100.000000,4120.000000,4010.000000,4090.000000,3786.333008,113845600
2021-12-09,4090.000000,4150.000000,4080.000000,4150.000000,3841.878174,86985800
2021-12-10,4070.000000,4150.000000,4070.000000,4150.000000,3841.878174,90725000
2021-12-13,4150.000000,4150.000000,4080.000000,4080.000000,3777.075439,65533000
2021-12-14,4120.000000,4120.000000,4070.000000,4100.000000,3795.590576,75736900
2021-12-15,4060.000000,4140.000000,4060.000000,4080.000000,3777.075439,84424500
2021-12-16,4110.000000,4150.000000,4060.000000,4100.000000,3795.590576,98164300
2021-12-17,4010.000000,4100.000000,4010.000000,4100.000000,3795.590576,149615800
2021-12-20,4070.000000,4110.000000,4040.000000,4080.000000,3777.075439,72794200
2021-12-21,4110.000000,4190.000000,4100.000000,4160.000000,3851.135742,98039300
2021-12-22,4160.000000,4170.000000,4110.000000,4110.000000,3804.848145,50574500
2021-12-23,4110.000000,4160.000000,4100.000000,4160.000000,3851.135742,54508200
2021-12-24,4160.000000,4170.000000,4100.000000,4110.000000,3804.848145,29075600
2021-12-27,4150.000000,4150.000000,4070.000000,4080.000000,3777.075439,30748000
2021-12-28,4080.000000,4130.000000,4050.000000,4090.000000,3786.333008,39443300
2021-12-29,4100.000000,4130.000000,4080.000000,4080.000000,3777.075439,25596100
2021-12-30,4130.000000,4130.000000,4040.000000,4040.000000,3740.045410,50575100
2022-01-03,4060.000000,4180.000000,4050.000000,4180.000000,3869.650635,65937900
2022-01-04,4180.000000,4200.000000,4150.000000,4170.000000,3860.393311,42984700
2022-01-05,4150.000000,4190.000000,4030.000000,4050.000000,3749.302734,119584700
